# 引擎硬编码串翻译表 ja<TAB>zhCN（换行写作 \n）
いいえ	否
敵単体にダメージ[Ⅶ] & 必ず魅了・呪い・暗闇(敵単/1T) & 状態強化解除(敵単) & 攻撃力UP(味全/3T)	对单个敌人造成伤害[Ⅶ]&必定附带诱惑、诅咒、黑暗(单个敌人/1T)&解除状态强化(单个敌人)&攻击力提升(全体/3T)
敵単体にダメージ[Ⅶ] & 攻撃力UP & ダメージUP(全/3T)	对敌方单体造成伤害[Ⅶ] & 攻击力提升 & 伤害提升(我方全体/3T)
敵単体にダメージ[Ⅶ] & 攻撃力UP & 防御力UP & 確率でクリティカル(自/2T)	对单个敌人造成伤害[Ⅶ]& 攻击力提升 & 防御力提升(自己/2T) & 一定几率暴击(自己/2T)
敵単体にダメージ[Ⅶ] & 攻撃力UP & 防御力UP(全/3T)	对敌方单体造成伤害[Ⅶ] & 攻击力提升 & 防御力提升(我方全体/3T)
敵単体にダメージ[Ⅶ] & 攻撃力UP(全/3T)	对敌方单体造成伤害[Ⅶ] & 攻击力提升(我方全体/3T)
敵単体にダメージ[Ⅶ] & 確率でカウンター & ダメージカット状態(味全/3T)	给予单体敌人伤害[Ⅶ] & 一定几率反击(全部/3T) & 伤害削减(全部/3T)
敵単体にダメージ[Ⅶ] & 確率でカウンター(全/3T) & ダメージカット(全/3T)	对敌方单体造成伤害[Ⅶ] & 一定几率反击(我方全体/3T) & 伤害削减(我方全体/3T)
敵単体にダメージ[Ⅶ] & 確率でスタン(敵単/1T) & 必ず挑発(自/1T)	对单个敌人造成伤害[Ⅶ] & 一定几率附带麻痹(单个敌人/1T) & 必定附带挑衅(自己/1T)
敵単体にダメージ[Ⅶ] & 防御力DOWN & さらに防御力DOWN(敵単/3T) & 確率で拘束(敵単/1T)	对单个敌人造成伤害[Ⅶ]&防御力下降&进一步防御力下降(单个敌人/3T)&一定几率附带束缚(单个敌人/1T)
敵単体にダメージ[Ⅶ] & 防御力DOWN & 状態異常耐性DOWN(敵単/3T) & 必ず拘束(敵単/1T)	对单个敌人造成伤害[Ⅶ] & 防御力下降 & 状态异常耐性(单个敌人/3T) & 必定附带束缚(单个敌人/1T)
敵単体にダメージ[Ⅶ] & 防御力DOWN(敵単/3T)	对敌方单体造成伤害[Ⅶ] & 防御力下降(敌方单体/3T)
敵単体にダメージ[Ⅶ] & 防御力DOWN(敵単/3T) & Accele MPUP & ダメージUP(味全/3T)	给予单体敌人伤害[Ⅶ] & 防御力下降(单体敌人/3T) & Accele MP提升 & 伤害提升(全部/3T)
敵単体にダメージ[Ⅶ]&Charge後ダメージUP&Blast ダメージUP(全/3T)	对单个敌人造成伤害[Ⅶ]&Charge后伤害提升&Blast伤害提升（全体/3T）
敵単体にダメージ[Ⅶ]&必ず魅了・呪い・暗闇(敵単/1T)&状態強化解除(敵単)&攻撃力UP(全/3T)	对敌方单体造成伤害[Ⅶ] & 必定赋予诱惑、诅咒、黑暗(敌方单体/1T) & 解除状态强化(敌方单体) & 攻击力提升(我方全体/3T)
敵単体にダメージ[Ⅶ]&防御力DOWN&さらに防御力DOWN(敵単/3T)&確率で拘束(敵単/1T)	对单个敌人造成伤害[Ⅶ]&防御力下降&进一步防御力下降(单个敌人/3T)&一定几率附带束缚(单个敌人/1T)
敵単体にダメージ[Ⅷ] & バフ解除 & 状態強化解除(敵単) & ダメージUP(全/3T)	对敌方单体造成伤害[Ⅷ] & 解除增益 & 解除状态强化(敌方单体) & 伤害提升(我方全体/3T)
敵単体にダメージ[Ⅷ] & 低HPほど威力UP & 必ず回避(自/1T) & HP自動回復(自/3T)	对单个敌人造成伤害[Ⅷ]&HP越低威力越大&回避（自己/1T）&HP自动回复（自己/3T）
敵単体にダメージ[Ⅷ] & 必ず魅了 & 呪い ＆ 暗闇(敵単/1T) ＆ 状態強化解除 ＆ 攻撃力UP(全/1T)	对敌方单体造成伤害[Ⅷ] & 必定赋予诱惑 & 诅咒 & 黑暗(敌方单体/1T) & 解除状态强化 & 攻击力提升(我方全体/1T)
敵単体にダメージ[Ⅸ] & サヴァイヴ & 必ずクリティカル & 必ずカウンター(自/2T)	对单个敌人造成伤害[Ⅸ] & 幸存 & 必定暴击 & 必定反击（自己/2T）
敵単体にダメージ[Ⅸ] & ダメージカット状態(味全/3T) & 必ず挑発 & HP自動回復(自/3T)	对单个敌人造成伤害[Ⅸ] & 伤害削减(全体/3T) & 必定挑衅(自己/1T) & HP自动回复(自己/3T)
敵単体にダメージ[Ⅸ] & 必ず挑発(自/1T) & 必ずカウンター(自/1T)	对单个敌人造成伤害[Ⅸ] & 必定挑衅（自己/1T） & 必定反击（自己/1T）
敵単体にダメージ[Ⅸ] & 確率でカウンター & ダメージカット状態(味全/3T)	给予单体敌人伤害[Ⅸ] & 一定几率反击(全部/3T) & 伤害削减(全部/3T)
敵単体に属性強化ダメージ & MP獲得量DOWN & マギアダメージUP & MPダメージ	对敌方单体造成属性强化伤害 & MP获得量降低 & Magia伤害提升 & MP伤害
敵単体に属性強化ダメージ[Ⅲ] & Charge後ダメージUP(全/3T) & 状態異常解除(全) 	对敌方单体造成属性强化伤害[Ⅲ] & Charge后伤害提升(我方全体/3T) & 解除异常状态(我方全体)
敵単体に属性強化ダメージ[Ⅳ] & 確率で魅了(敵単/1T) &  防御力DOWN(敵単/3T)	对单个敌人造成属性强化伤害[Ⅳ] & 一定几率附带诱惑（单个敌人/1T） & 防御力下降（单个敌人/3T）
敵単体に属性強化ダメージ[Ⅴ] & HP回復 & 状態異常解除(全)	对敌方单体造成属性强化伤害[Ⅴ] & HP回复 & 解除异常状态(我方全体)
敵単体に属性強化ダメージ[Ⅴ] & 攻撃力UP & マギアダメージUP & バリア(50000)を付与(自/3T)	对敌方单体造成属性强化伤害[Ⅴ] & 攻击力提升 & Magia伤害提升 & 赋予屏障(50000)(自身/3T)
敵単体に属性強化ダメージ[Ⅴ] & 攻撃力UP & 必ず防御無視(自/3T) & 防御力DOWN & 必ず挑発(自/1T)	对敌方单体造成属性强化伤害[Ⅴ] & 攻击力提升 & 必定无视防御(自身/3T) & 防御力降低 & 必定挑衅(自身/1T)
敵単体に属性強化ダメージ[Ⅴ] & 状態異常耐性UP(味全/3T)	对敌方单体属性强化伤害[Ⅴ] & 状态异常耐性提升(己全/3T)
敵単体に属性強化ダメージ[Ⅵ] & 必ずスタン(敵単/1T)	对单个敌人造成属性强化伤害[Ⅵ] & 必定眩晕(单个敌人/1T)
敵単体に属性強化ダメージ[Ⅵ] & 必ずスタン(敵単/1T) & 耐える(自/1T)	对单个敌人造成属性强化伤害[Ⅵ] & 必定附带麻痹(单个敌人/1T) & 忍耐(自己/1T)
敵単体に属性強化ダメージ[Ⅵ] & 必ず魅了(敵単/1T) & 防御力DOWN(敵単/3T) & バフ解除(敵単)	对单个敌人造成属性强化伤害[Ⅵ] & 必定附带诱惑（单个敌人/1T） & 防御力下降（单个敌人/3T） & 解除增益（单个敌人）
敵単体に属性強化ダメージ[Ⅶ] & マギアダメージUP(全/3T)	对敌方单体造成属性强化伤害[Ⅶ] & Magia伤害提升(我方全体/3T)
敵単体に属性強化ダメージ[Ⅶ] & 必ずスキル不可(単/2T) & Accele MPUP & 回避無効(全/3T)	对敌方单体造成属性强化伤害[Ⅶ] & 必定技能封印(单个/2T) & Accele MP提升 & 回避无效(我方全体/3T)
敵単体に属性強化ダメージ[Ⅶ] & 必ずスキル不可(敵単/2T) & Accele MPUP & 必ず回避無効(味全/3T)	对单个敌人造成属性强化伤害[Ⅶ] & 必定禁用技能(单个/2T) & Accele MP提升 & 回避无效(全体/3T)
敵単体に属性強化ダメージ[Ⅶ] & 必ずスタン(敵単/1T) & Charge後ダメージUP(味全/3T)	对敌方单体属性强化伤害[Ⅶ] & 必定眩晕(敌单/1T) & Charge后伤害提升(全/3T)
敵単体に属性強化ダメージ[Ⅶ] & 攻撃力DOWN & マギアダメージDOWN(敵単/3T)	对敌方单体属性强化伤害[Ⅶ] & 攻击力下降 & Magia伤害下降(敌单/3T)
敵単体に属性強化ダメージ[Ⅶ] & 状態異常耐性UP(味全/3T) & デバフ解除(味全)	对单个敌人造成伤害[Ⅶ] & 状态异常耐性提升（自己/3T） & 解除减益（自己）
敵単体に属性強化ダメージ[Ⅶ] & 防御力UP & デバフ効果を1回無効 & 状態異常を1回無効(味全/3T) & 蘇生	对敌方单体属性强化伤害[Ⅶ] & 防御力提升 & 减益效果1回无效 & 状态异常1回无效(己全/3T) & 苏生
敵単体に属性強化ダメージ[Ⅷ] & 必ずスタン(敵単/1T) & 耐える(自/3T)	对单个敌人造成属性强化伤害[Ⅷ] & 必定附带麻痹(单个敌人/1T) & 忍耐(自己/3T)
敵単体に属性強化ダメージ[Ⅷ] & 状態異常耐性DOWN(敵単/2T) & 必ず回避(自/1T)	对敌方单体属性强化伤害[Ⅷ] & 状态异常耐性下降(敌单/2T) & 必定回避(自/1T)
敵単体に属性強化ダメージ[Ⅹ] & 必ずスタン(敵単/1T) & 必ず暗闇(敵単/2T) & 耐える(自/3T)	对单个敌人造成属性强化伤害[Ⅹ] & 必定附带麻痹(单个敌人/1T) & 必定附带黑暗(单个敌人/2T) & 忍耐(自己/3T)
敵単体に属性強化ダメージ[Ⅹ] & 必ず魅了(敵単/1T) & 防御力DOWN(敵単/3T) & バフ解除(敵単)	对敌方单体造成属性强化伤害[Ⅹ] & 必定魅惑(敌方单体/1T) & 防御力降低(敌方单体/3T) & 解除增益(敌方单体)
敵単体ダメージ[Ⅳ] & 防御力DOWN(敵単/3T)	对敌方单体造成伤害[Ⅳ] & 防御力下降(敌方单体/3T)
敵単体ダメージ[Ⅶ] & 防御力DOWN(敵単/3T) & Charge後ダメージUP(全/3T)	对敌方单体造成伤害[Ⅶ] & 防御力降低(敌方单体/3T) & Charge后伤害提升(我方全体/3T)
断罪の光芒	断罪之光
新春骨牌演舞	新春歌牌演舞
星5の力をお見せします！	让你见识一下5星的力量！
星に願いを	向星星许愿
時間止めスペシャル	时间停止Special
枕探しのドッペル	偷窃的魔女化身
桜語り	樱语
桜隠れ	樱隐
極楽魔法遊戯	极乐魔法游戏
横方向にダメージ & HP回復(全)	横向伤害 & HP回复(我方全体)
横方向にダメージ[Ⅰ]	横向造成伤害[Ⅰ]
横方向にダメージ[Ⅰ] & HP回復(全)	横向伤害[Ⅰ] & HP回复（全体）
横方向にダメージ[Ⅳ] & HP回復(全) & 防御力UP(全/3T)	横向伤害[Ⅳ] & HP回复（全体）& 防御力提升（全体/3T）
横方向にダメージ[Ⅴ] & Charge後ダメージUP(全/3T) & 確率でスキルクイック(全/1T)	横向伤害[Ⅴ] & Charge后伤害提升(我方全体/3T) & 概率技能加速(我方全体/1T)
横方向に属性強化ダメージ[XⅤ] & 光属性攻撃力UP & 攻撃力UP & Blast攻撃時MP獲得	横向造成属性强化伤害[XⅤ] & 光属性攻击力提升 & 攻击力提升 & Blast攻击时获得MP
次はこの曲	接下来是这首
水彩レイン	水彩之雨
浄火のドッペル	净火的魔女化身
消滅のドッペル	消灭的魔女化身
激昂星弾輪舞	激昂星弹轮舞
炎扇斬舞	炎扇斩舞
無思考	无思考
無縁のドッペル	无缘的魔女化身
無色透明のドッペル	无色透明的魔女化身
無限灼熱火炎龍撃波	无限灼热火焰龙击波
煌道のページ	通向辉煌路的书页
熱病のドッペル	热病的魔女化身
白昼夢のドッペル	白日梦的魔女化身
白椿	白椿
白羽根のドッペル	白翼的魔女化身
盟神抉槍（くがたち）	盟神抉枪
真夏のファイヤーアタック！	盛夏的火焰攻击！
真珠マギア	珍珠Magia
眩龍乱舞	眩龙乱舞
礼拝のドッペル	礼拜的魔女化身
神託大炎	神托大炎
突貫！絶対必中弾雨	突击！绝对必中弹雨
篭絡のドッペル	笼络的魔女化身
粛清天使	肃清天使
約束のドッペル	约定的魔女化身
終末宣告紋章	终结宣告纹章
絶対炎上観鳥砲!!	一击必燃观鸟炮！！
絶対自壊演舞	绝对自坏演舞
絶縁無縁のドッペル	绝缘无缘的魔女化身
縦方向にダメージ & HP回復(全) & 攻撃力UP(全/3T)	纵向伤害 & HP回复(我方全体) & 攻击力提升(我方全体/3T)
縦方向にダメージ[Ⅰ]	纵向伤害[Ⅰ]
縦方向にダメージ[Ⅰ] & HP回復(全)	纵向伤害[Ⅰ] & HP回复（全体）
縦方向にダメージ[Ⅴ] & 防御力DOWN(敵縦/3T) & Accele MPUP(全/3T)	纵向伤害[Ⅴ] & 防御力下降(纵向敌人/3T) & Accele MP提升(我方全体/3T)
縦方向にダメージ[Ⅶ] & 防御力DOWN(敵縦/3T) & Accele MPUP(全/3T) & HP回復(全)	纵向伤害[Ⅶ] & 防御力下降(纵向敌人/3T) & Accele MP提升(我方全体/3T) & HP回复(我方全体)
縦方向にダメージ[Ⅶ] & 防御力DOWN(敵縦/3T) & Accele MPUP(味全/3T) & HP回復(味全)	纵向伤害[Ⅶ] & 防御力下降(纵向敌人/3T) & Accele MP提升(全体/3T) & HP回复(全体)
職責のドッペル	职责的魔女化身
臆病のドッペル	怯懦的魔女化身
自棄のドッペル	自弃的魔女化身
荒磯ドッペル一本釣りスペシャル	海边钓魔女化身Special
螺旋帰道	螺旋归途
衆目集めのドッペル	引人注目的魔女化身
表裏のドッペル	表里的魔女化身
誇負のドッペル	自傲的魔女化身
軽忽のドッペル	轻率的魔女化身
遺言のドッペル	遗言的魔女化身
閉鎖回路のドッペル	闭合回路的魔女化身
陣取りのドッペル	布阵的魔女化身
隔絶のドッペル	隔绝的魔女化身
離散のドッペル	离散的魔女化身
電令のドッペル	电令的魔女化身
食べごろハンター	美食猎人
魔法のシャボン	魔法泡泡
魔法同心・ちはる捕物帳	魔法同心·千春追捕帐
鷹影爪風斬	鹰影爪风斩
黒の一閃	黑之一闪
？？？？？のマギア	？？？？？的Magia
｜刻み込む桜の物語｜	｜铭刻的樱花物语｜
｜桜の物語は全てを呑み込む｜	｜樱花物语将吞噬一切｜
Phew... Th-that was scary...	呼……刚、刚才好可怕……
Yay, I won...!	太好了，我赢了……！
Did I look a little like a hero?	我看起来有一点像英雄吗？
Hehe, I win!	嘿嘿，我赢了！
Well now, wasn't that generous of me?	哎呀，我还真大方呢。
That's what happens when you disobey me!	这就是不听我命令的下场！
The providence of nature...! Just maybe!	自然的法则！……或许就是这么回事吧！
You'll become fertilizer if I return you to the soil, right?!	送回土里就能变成肥料了呢！
*Phew* We did it...	呼……成功了……
Everyone, I'm so glad you're safe.	大家都平安，真是太好了。
I hope one day I can be near her...	希望有一天，我能陪在她身边……
A Faint Light	微弱之光
ATK UP [V] / Chance to Ignore Defense [VII] (Self/1 Turn)	攻击力提升[Ⅴ] & 概率无视防御[Ⅶ](自/1T)
Accele MPUP[Ⅹ] & 確率でクリティカル[Ⅹ]	Accele MP提升[Ⅹ] & 概率暴击[Ⅹ]
Burn / Bewitch Chance [IV] (Target/1 Turn)	必定烧伤 & 概率幻惑[Ⅳ](敌单/1T)
Charm Chance [IV] (All Foes/1 Turn)	魅惑概率[Ⅳ](敌全/1T)
Charm Eyes [IV]	魅惑之瞳[Ⅳ]
Clear with 25% or more Total HP	通关时总HP剩余25%以上
Clear with team of 5 Magical Girls or less	以不超过5名魔法少女的队伍通关
Clear within 1 Wave(s)	在1个Wave内通关
DEF DOWN [V] (Target/1 Turn) / Remove Debuffs (Team)	防御力下降[Ⅴ](敌单/1T) & 解除减益(己全)
Go! Fight! Win!	Go! Fight! Win!
I'm gonna kill myself!	我要自杀！
Infinite despair.	Infinite despair.
Irrlicht [IV]	鬼火[Ⅳ]
Kyuball　341,654,673	Kyuball　341,654,673
Kyubara　326,880,966	Kyubara　326,880,966
Kyubark　101,484,925	Kyubark　101,484,925
Kyubelia　163,332,688	Kyubelia　163,332,688
Kyubert　490,350,466	Kyubert　490,350,466
Kyubert　847,511	Kyubert　847,511
Kyubexter　333,958,363	Kyubexter　333,958,363
Kyubinoid　542,834,597	Kyubinoid　542,834,597
Kyubinoid　883,613,236	Kyubinoid　883,613,236
Kyubish　143,127,957	Kyubish　143,127,957
Kyublix　635,770,649	Kyublix　635,770,649
Kyubulous　557,481,879	Kyubulous　557,481,879
Last Magia	Last Magia
LiviaMedeiros	LiviaMedeiros
Lv 1	Lv 1
Lv 100	Lv 100
Lv 999	Lv 999
Natsuki	Natsuki
OK	OK
Proof of Darkness	黑暗的证明
Puella 连击	Puella 连击
Rumors in Kamihama	遍布神滨市的传闻
TOTENTANZ	TOTENTANZ
Team Mikazuki: Part 12	三日月别墅队篇 12话
You can't win against me.	你是赢不了我的。
§||Ξ×Φ//ρβ！！	§||Ξ×Φ//ρβ！！
§×ΘΦщβ！！	§×ΘΦщβ！！
∞//ρπΦΣ||ΞΠ！！？？	∞//ρπΦΣ||ΞΠ！！？？
さぁリラックスして…深く因果を辿るから…	放松身体……深深潜入因果之中……
わ、私も頑張ります！	我、我也会加油的！
アッハハハハ！	啊哈哈哈哈！
アーッハハハハッ！	啊——哈哈哈哈！
スキル不可無効 ＆ 魅了 ＆ スタン ＆ 拘束無効	技能封印无效 & 魅惑、眩晕、拘束无效
ブレイブ・エシュロン	英勇梯队
マギア不可&MP獲得量DOWN(全/1T)&MPダメージ(全)＆MP自動回復(自)	Magia封印 & MP获得量下降(全/1T) & MP伤害(全) & MP自动回复(自)
与えるダメージUP[Ⅴ] & MP獲得量UP[Ⅴ]	伤害提升[Ⅴ] & MP获得量提升[Ⅴ]
与えるダメージUP[Ⅸ] & 確率でクリティカル[Ⅸ]	造成伤害提升[Ⅸ] & 概率暴击[Ⅸ]
与えるダメージUP[Ⅹ] & 水属性攻撃力UP[Ⅹ]	造成伤害提升[Ⅹ] & 水属性攻击力提升[Ⅹ]
主役を譲って差し上げますわ	就把主角让给你吧
什么，事到如今，\n要和PROMISED BLOOD联手？	什么，事到如今，\n要和PROMISED BLOOD联手？
今だけは私が…	唯独此刻我……
令觉得那里是PROMISED BLOOD的要害，所以很在意	令觉得那里是PROMISED BLOOD的要害，所以很在意
但也差不多该集结战力，对PROMISED BLOOD发动总攻了	但也差不多该集结战力，对PROMISED BLOOD发动总攻了
你们给我们添了那么多麻烦，\n就以死来pay吧！	你们给我们添了那么多麻烦，\n就以死来pay吧！
使用未关注玩家的支援时\n无法使用 Magia 与技能，请注意	使用未关注玩家的支援时\n无法使用 Magia 与技能，请注意
八千代，你还没放过\nTOTENTANZ吗？	八千代，你还没放过\nTOTENTANZ吗？
単体に確率で拘束＆攻撃力アップ	使单体概率拘束 & 攻击力提升
另一件让人大受震撼的事，\n则是四名魔法少女\n跟着再度出现的Neo Magius离开了…	另一件让人大受震撼的事，\n则是四名魔法少女\n跟着再度出现的Neo Magius离开了…
另一件让人大受震撼的事，\n则是四名魔法少女\n跟着再度出现的Neo Magius离开了…\n	另一件让人大受震撼的事，\n则是四名魔法少女\n跟着再度出现的Neo Magius离开了…\n
另一件让人大受震撼的事，\n则是四名魔法少女\n跟着再度出现的Neo Magius离开了…\n自那之后，事态就不断恶化并波及到周围	另一件让人大受震撼的事，\n则是四名魔法少女\n跟着再度出现的Neo Magius离开了…\n自那之后，事态就不断恶化并波及到周围
另一件让人大受震撼的事，\n则是四名魔法少女\n跟着再度出现的Neo Magius离开了…\n自那之后，事态就不断恶化并波及到周围\n	另一件让人大受震撼的事，\n则是四名魔法少女\n跟着再度出现的Neo Magius离开了…\n自那之后，事态就不断恶化并波及到周围\n
